104,Thu 06:33:00 PM,The Messenger,8-Bit,strizer86,0:40:00
105,Thu 07:33:00 PM,Dead Cells,any%,"Studio, scaz.zaf, ChurchnSarge",0:20:00
106,Thu 08:03:00 PM,SETUP BLOCK 4,Setup%,Tech Crew,1:10:00
107,Thu 09:23:00 PM,Celeste,All Chapters,TGH,1:40:00
108,Thu 11:13:00 AM,The Legend of Zelda: The Wind Waker HD,100%,Linkus7,6:00:00
109,Fri 05:23:00 AM,Pac-Man: Championship Edition 2,Any%,Pinballwiz45b,0:28:00
110,Fri 06:01:00 AM,Klonoa: Door to Phantomile,Any%,Trob,0:45:00
111,Fri 06:56:00 AM,Ape Escape,any% no IJ,GoatPuncherArctic,1:10:00
112,Fri 08:16:00 AM,Metroid Fusion,Any% Memory Corruption,CScottyW,0:55:00
113,Fri 09:21:00 AM,Diablo 2: Lord of Destruction,Any% Normal Amazon,MrLlamaSC,2:20:00
114,Fri 11:51:00 AM,Diablo 2: Lord of Destruction,Any% Old Patch,Semanari,0:27:00
115,Fri 12:28:00 PM,Grand Theft Auto: Vice City,Any% No SSU,KZ_FREW,1:00:00
116,Fri 01:43:00 PM,Pokemon Gold,Any% Glitchless (Race),"Gunnermaniac3, pokeguy84",3:25:00
117,Fri 05:28:00 PM,Final Fantasy IV - Free Enterprise,League Match Flags,"Neerrm, riversmccown, Khobahi, Obdajr",2:00:00
118,Fri 07:48:00 PM,TASBot plays mari0 (SMB1 + Portal gun),Various mappacks by Masterjun and Noahkiq,dwangoAC,0:15:00
119,Fri 08:18:00 PM,TASBot plays Castlevania: Aria of Sorrow,"""All souls"" by Fz-last, klmz and Pike",dwangoAC,0:17:06
120,Fri 08:50:00 PM,SETUP BLOCK 5,Setup%,Tech Crew,0:15:00
121,Fri 09:20:00 PM,Super Mario Sunshine,1v1 Lockout Bingo,"PangaeaPanga, SniperKing",1:30:00
122,Fri 11:00:00 PM,Final Fantasy IX,Any%,"Tojju, Muttski, Luzbelheim",9:35:00
123,Sat 08:45:00 AM,Puyo Puyo Tetris,Extra Stages 100%,Scottobozo,0:40:00
124,Sat 09:35:00 AM,Kirby Super Star,100%,usedpizza,1:20:00
125,Sat 11:05:00 AM,I wanna kill the Kamilia 2,any%,BBF,1:30:00
126,Sat 12:45:00 PM,The Legend of Zelda: A Link to the Past,Low% 1-Hit K.O.,Xelna,1:55:00
127,Sat 02:50:00 PM,Dark Souls III,All Bosses,spacey1,1:57:30
128,Sat 04:58:00 PM,SETUP BLOCK 6,Setup%,Tech Crew,0:43:00
129,Sat 06:01:00 PM,Quickie World,100%,"GlitchCat7, RBMACHOK, Dode",0:18:00
130,Sat 06:29:00 PM,Super Gracie World,100%,Wahnthac,0:30:00
131,Sat 07:09:00 PM,Super Mario Odyssey,Darker Side,Bayleef,3:22:00
132,Sat 10:41:00 PM,Super Metroid,Reverse Boss Order,ShinyZeni,1:20:00
